LocationID,Borough,Zone,service_zone,centroid_lat,centroid_lon
76,Brooklyn,East New York,Unknown,40.660935196550525,-73.87682061127194
77,Brooklyn,East New York/Pennsylvania Avenue,Unknown,40.66655893903529,-73.89536411750328
78,Bronx,East Tremont,Unknown,40.84496041014611,-73.88552181587427
79,Manhattan,East Village,Unknown,40.727620195909545,-73.98593745682462
80,Brooklyn,East Williamsburg,Unknown,40.71536988214357,-73.93679314491885
81,Bronx,Eastchester,Unknown,40.88093541148944,-73.83664334408303
82,Queens,Elmhurst,Unknown,40.739495646778145,-73.87711833280913
83,Queens,Elmhurst/Maspeth,Unknown,40.73832381382601,-73.89217338112861
84,Staten Island,Eltingville/Annadale/Prince's Bay,Unknown,40.52868644656618,-74.18767433468817
85,Brooklyn,Erasmus,Unknown,40.64611634689508,-73.95162318261012
86,Queens,Far Rockaway,Unknown,40.60243279341673,-73.75524369679601
87,Manhattan,Financial District North,Unknown,40.70680845166585,-74.00749598562427
88,Manhattan,Financial District South,Unknown,40.70335790323616,-74.01151502922326
89,Brooklyn,Flatbush/Ditmas Park,Unknown,40.63790012347376,-73.9609682490637
90,Manhattan,Flatiron,Unknown,40.74227862901228,-73.99697141558364
91,Brooklyn,Flatlands,Unknown,40.62627276333646,-73.93009701219945
92,Queens,Flushing,Unknown,40.76110218983439,-73.82885869884261
93,Queens,Flushing Meadows-Corona Park,Unknown,40.740675872160615,-73.84086726234149
94,Bronx,Fordham South,Unknown,40.858155196184065,-73.89953593442154
95,Queens,Forest Hills,Unknown,40.72143227502133,-73.84766941187526
96,Queens,Forest Park/Highland Park,Unknown,40.69700061310114,-73.87155842518149
97,Brooklyn,Fort Greene,Unknown,40.690786794210936,-73.974882086189
98,Queens,Fresh Meadows,Unknown,40.73446262820091,-73.77725346665984
99,Staten Island,Freshkills Park,Unknown,40.57677363548707,-74.18641851305921
100,Manhattan,Garment District,Unknown,40.75351275872571,-73.98878659911529
101,Queens,Glen Oaks,Unknown,40.74599381838422,-73.71102598691236
102,Queens,Glendale,Unknown,40.7035456107629,-73.87573576709775
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Unknown,40.689860103660195,-74.04528829364004
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Unknown,40.698768673626134,-74.04077076873645
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Unknown,40.68878423861296,-74.01907272636831
106,Brooklyn,Gowanus,Unknown,40.67351279686077,-73.99064727363114
107,Manhattan,Gramercy,Unknown,40.73682405761897,-73.98405213268919
108,Brooklyn,Gravesend,Unknown,40.588403465290384,-73.98143115020055
109,Staten Island,Great Kills,Unknown,40.55186299807707,-74.15088980760535
110,Staten Island,Great Kills Park,Unknown,40.54578031659563,-74.12834244237268
111,Brooklyn,Green-Wood Cemetery,Unknown,40.65213727041904,-73.99023450433013
112,Brooklyn,Greenpoint,Unknown,40.729506284208874,-73.94954030482207
113,Manhattan,Greenwich Village North,Unknown,40.732579073027026,-73.99430477051166
114,Manhattan,Greenwich Village South,Unknown,40.72834039137229,-73.99738026020042
115,Staten Island,Grymes Hill/Clifton,Unknown,40.617971375889255,-74.08783880974953
116,Manhattan,Hamilton Heights,Unknown,40.827012654925376,-73.94852173020877
117,Queens,Hammels/Arverne,Unknown,40.59405875281401,-73.78962208250081
118,Staten Island,Heartland Village/Todt Hill,Unknown,40.58655462662628,-74.13297872511697
119,Bronx,Highbridge,Unknown,40.83782699169886,-73.92615723620786
120,Manhattan,Highbridge Park,Unknown,40.84666774830275,-73.93018219742838
121,Queens,Hillcrest/Pomonok,Unknown,40.72833332297307,-73.80244428186222
122,Queens,Hollis,Unknown,40.71063928425105,-73.76113699730597
123,Brooklyn,Homecrest,Unknown,40.59995429251391,-73.96433367133902
124,Queens,Howard Beach,Unknown,40.658247961230614,-73.84491858438533
125,Manhattan,Hudson Sq,Unknown,40.7262904102812,-74.0074858180095
126,Bronx,Hunts Point,Unknown,40.81207445859209,-73.88553752149434
127,Manhattan,Inwood,Unknown,40.86607500072781,-73.91930823586193
128,Manhattan,Inwood Hill Park,Unknown,40.87237880957358,-73.92436981716105
129,Queens,Jackson Heights,Unknown,40.75731206303919,-73.88531724061083
130,Queens,Jamaica,Unknown,40.70436877745512,-73.79397965822719
131,Queens,Jamaica Estates,Unknown,40.72065523874958,-73.77610076139925
132,Queens,JFK Airport,Unknown,40.646984892395146,-73.78653298334974
133,Brooklyn,Kensington,Unknown,40.640590070674484,-73.9761989895133
134,Queens,Kew Gardens,Unknown,40.70805099798807,-73.82871246597531
135,Queens,Kew Gardens Hills,Unknown,40.72837768325732,-73.8211959038747
136,Bronx,Kingsbridge Heights,Unknown,40.86526419152492,-73.90591118270514
137,Manhattan,Kips Bay,Unknown,40.740438978596416,-73.97649472376759
138,Queens,LaGuardia Airport,Unknown,40.77437570593248,-73.87362864289108
